drop_lat,drop_long,pickups
40.762,-73.979,10320
40.756,-73.973,6293
40.759,-73.989,6211
40.758,-73.989,6083
40.75,-73.991,5849
40.757,-73.972,5783
40.763,-73.982,5287
40.752,-73.977,4949
40.764,-73.981,4604
40.765,-73.975,4378
40.755,-73.973,4344
40.756,-73.972,4187
40.765,-73.981,4185
40.759,-73.986,4167
40.761,-73.985,4032
40.768,-73.985,3979
40.758,-73.986,3934
40.756,-73.982,3882
40.757,-73.984,3820
40.757,-73.993,3792
40.759,-73.996,3604
40.76,-73.986,3584
40.769,-73.985,3538
40.749,-73.992,3462
40.75,-73.986,3383
40.756,-73.983,3274
40.757,-73.974,3268
40.763,-73.981,3237
40.761,-73.987,3176
40.76,-73.985,3121
40.759,-73.985,3107
40.752,-73.976,3082
40.764,-73.979,3015
40.765,-73.978,2975
40.746,-73.988,2972
40.762,-73.982,2911
40.758,-73.984,2806
40.761,-73.986,2690
40.756,-73.992,2686
40.756,-73.974,2642
40.758,-73.975,2624
40.752,-73.986,2617
40.756,-73.993,2589
40.752,-73.993,2581
40.763,-73.979,2467
40.759,-73.984,2447
40.759,-73.987,2445
40.746,-73.994,2423
40.75,-73.981,2414
40.763,-73.984,2413
40.75,-73.974,2411
40.764,-73.983,2407
40.756,-73.975,2391
40.751,-73.976,2385
40.762,-73.983,2379
40.757,-73.982,2350
40.757,-73.983,2331
40.762,-73.985,2321
40.744,-73.984,2317
40.756,-73.971,2305
40.762,-73.978,2285
40.751,-73.975,2280
40.751,-73.985,2269
40.747,-73.99,2261
40.757,-73.985,2226
40.751,-73.974,2190
40.765,-73.98,2159
40.748,-73.988,2100
40.75,-73.992,2100
40.749,-73.976,2089
40.765,-73.983,2062
40.769,-73.987,2017
40.764,-73.982,2013
40.72,-74.0,2003
40.76,-73.984,1982
40.765,-73.982,1967
40.758,-73.985,1948
40.764,-73.98,1946
40.757,-73.97,1941
40.754,-73.977,1922
40.753,-73.993,1878
40.755,-73.974,1871
40.751,-73.986,1868
40.749,-73.977,1858
40.75,-73.987,1839
40.757,-73.99,1802
40.744,-73.986,1797
40.719,-74.0,1782
40.762,-73.986,1770
40.758,-73.974,1765
40.746,-73.984,1756
40.765,-73.979,1718
40.763,-73.983,1718
40.75,-73.978,1706
40.759,-73.988,1705
40.756,-73.969,1697
40.747,-73.987,1695
40.759,-73.975,1670
40.751,-73.991,1666
40.756,-73.989,1666
40.752,-73.985,1654
40.756,-73.991,1646
40.782,-73.98,1643
40.76,-73.988,1630
40.737,-73.989,1630
40.759,-73.99,1626
40.767,-73.978,1625
40.747,-73.991,1599
40.75,-73.979,1592
40.757,-73.975,1575
40.746,-73.985,1570
40.745,-73.989,1568
40.75,-73.975,1567
40.755,-73.972,1566
40.761,-73.984,1566
40.751,-73.97,1550
40.759,-73.983,1550
40.772,-73.983,1504
40.76,-73.987,1498
